ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
yakumo-1_i-1,,yakumo,1_i,ku'ani,ku'ani,k u a n i,,Hattori1960,,,^ k u 'a n i $,default
yakumo-2_thou-1,,yakumo,2_thou,'e'ani,'e'ani,e a n i,,Hattori1960,,,^ 'e 'a n i $,default
yakumo-3_we-1,,yakumo,3_we,ku'ani 'utár,ku'ani 'utár,k u a n i + u t á/a r,,Hattori1960,,,^ k u 'a n i + 'u t á r $,default
yakumo-3_we-2,,yakumo,3_we,ci'okáy('utár)[excl.],ci'okáy[excl.],ts i ʔ o k áy/ai,,Hattori1960,,,^ci'okáy[excl.] $,default
yakumo-3_we-3,,yakumo,3_we,'a'okáy('utár)[incl.],'a'okáy[incl.],ʔ a ʔ o k áy/ai,,Hattori1960,,,^'a'okáy[incl.] $,default
yakumo-4_this-1,,yakumo,4_this,tánpe,tánpe,t á/a n p e,,Hattori1960,,,^ t á n p e $,default
yakumo-4_this-2,,yakumo,4_this,ta'ánpe,ta'ánpe,t a á/a n p e,,Hattori1960,,,^ t a 'á n p e $,default
yakumo-5_that-1,,yakumo,5_that,to'anpe,to'anpe,t o a n p e,,Hattori1960,,,^ t o 'a n p e $,default
yakumo-6_who-1,,yakumo,6_who,nén,nén,n é/e n,,Hattori1960,,,^ n é n $,default
yakumo-7_what-1,,yakumo,7_what,nép,nép,n é/e p,,Hattori1960,,,^ n é p $,default
yakumo-8_not-1,,yakumo,8_not,somoné,somoné,s o m o n é/e,,Hattori1960,,,^ s o m o n é $,default
yakumo-9_all-1,,yakumo,9_all,'opitta,'opitta,o p i tː a,,Hattori1960,,,^ 'o p i tt a $,default
yakumo-9_all-2,,yakumo,9_all,'epitta,'epitta,e p i tː a,,Hattori1960,,,^ 'e p i tt a $,default
yakumo-10_many-1,,yakumo,10_many,porónno,porónno,p o r ó/o nː o,,Hattori1960,,,^ p o r ó nn o $,default
yakumo-11_one-1,,yakumo,11_one,sinép,sinép,s i n é/e p,,Hattori1960,,,^ s i n é p $,default
yakumo-12_two-1,,yakumo,12_two,túp,túp,t ú/u p,,Hattori1960,,,^ t ú p $,default
yakumo-13_big-1,,yakumo,13_big,poró,poró,p o r ó/o,,Hattori1960,,,^ p o r ó $,default
yakumo-14_long-1,,yakumo,14_long,tánne,tánne,t á/a nː e,,Hattori1960,,,^ t á nn e $,default
yakumo-15_small-1,,yakumo,15_small,pón,pón,p ó/o n,,Hattori1960,,,^ p ó n $,default
yakumo-16_woman-1,,yakumo,16_woman,menokó,menokó,m e n o k ó/o,,Hattori1960,,,^ m e n o k ó $,default
yakumo-16_woman-2,,yakumo,16_woman,mátnekur,mátnekur,m á/a t n e k u r,,Hattori1960,,,^ m á t n e k u r $,default
yakumo-17_man-1,,yakumo,17_man,'ókkayo,'ókkayo,ó/o kː a y/j o,,Hattori1960,,,^ 'ó kk a y o $,default
yakumo-18_person-1,,yakumo,18_person,'áynu,'áynu,á/a y/j n u,,Hattori1960,,,^ 'á y n u $,default
